ano,Região,estado,municipio,populacao,area,densidade
2024-01-01,Sudeste,Minas Gerais,Bonito de Minas,10491,3936.455,2.6650882583441193
2024-01-01,Norte,Acre,Brasiléia,27841,3928.82,7.086351627206133
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Nioaque,13412,3909.738,3.430408891849019
2024-01-01,Centro-Oeste,Mato Grosso,Nobres,15753,3908.739,4.0302000210298
2024-01-01,Sudeste,Minas Gerais,Diamantina,49353,3891.659,12.681738045394008
2024-01-01,Sudeste,Minas Gerais,Grão Mogol,14091,3885.294,3.6267525700757783
2024-01-01,Nordeste,Piauí,Dom Inocêncio,9335,3871.824,2.4110083516192886
2024-01-01,Norte,Rondônia,Cujubim,15883,3863.946,4.110564692156671
2024-01-01,Centro-Oeste,Mato Grosso,Alto Garças,13707,3857.559,3.5532833068787797
2024-01-01,Norte,Pará,Oeiras do Pará,36377,3852.291,9.442952258798725
2024-01-01,Nordeste,Bahia,Muquém do São Francisco,10796,3852.111,2.8026191353260588
2024-01-01,Centro-Oeste,Mato Grosso do Sul,São Gabriel do Oeste,31694,3850.683,8.230747636198565
2024-01-01,Centro-Oeste,Mato Grosso,Cláudia,9436,3843.561,2.4550150238281634
2024-01-01,Centro-Oeste,Mato Grosso,Pedra Preta,18722,3841.672,4.873398874240174
2024-01-01,Centro-Oeste,Goiás,Catalão,120789,3826.37,31.56751699391329
2024-01-01,Norte,Pará,Redenção,91947,3823.809,24.045918611520605
2024-01-01,Nordeste,Bahia,Gentio do Ouro,11263,3817.946,2.9500155319116614
2024-01-01,Centro-Oeste,Mato Grosso,Santa Carmem,5677,3812.09,1.4892093313641597
2024-01-01,Norte,Rondônia,Cacoal,97637,3793.0,25.74136567360928
2024-01-01,Centro-Oeste,Goiás,Paraúna,10749,3786.578,2.838710836010773
2024-01-01,Centro-Oeste,Goiás,Quirinópolis,49986,3786.026,13.202761946167302
2024-01-01,Norte,Pará,Xinguara,56999,3779.348,15.081701923188868
2024-01-01,Norte,Pará,Muaná,48955,3763.343,13.00838111221858
2024-01-01,Norte,Pará,Baião,55949,3760.0,14.880053191489361
2024-01-01,Norte,Tocantins,Dois Irmãos do Tocantins,6395,3747.645,1.7064049556454788
2024-01-01,Sul,Rio Grande do Sul,Cachoeira do Sul,82250,3736.064,22.01514749212005
2024-01-01,Norte,Amazonas,Silves,12404,3723.382,3.331379912133646
2024-01-01,Centro-Oeste,Mato Grosso,Castanheira,7459,3713.466,2.0086355981177695
2024-01-01,Centro-Oeste,Goiás,Flores de Goiás,14156,3695.106,3.831013237509289
2024-01-01,Nordeste,Maranhão,Formosa da Serra Negra,18133,3690.61,4.913279918495858
2024-01-01,Sudeste,Minas Gerais,Formoso,8103,3686.004,2.1983155742641625
2024-01-01,Centro-Oeste,Mato Grosso,Lucas do Rio Verde,92256,3674.596,25.10643346914872
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Cassilândia,21549,3658.252,5.890518203776011
2024-01-01,Sudeste,Minas Gerais,Campina Verde,18250,3650.749,4.998974183105988
2024-01-01,Nordeste,Pernambuco,Floresta,31627,3637.247,8.6953126911645
2024-01-01,Norte,Pará,Curralinho,36451,3617.35,10.07671361632134
2024-01-01,Sul,Rio Grande do Sul,São Borja,61323,3616.69,16.955558812062964
2024-01-01,Norte,Tocantins,Monte do Carmo,5722,3601.205,1.588912600088026
2024-01-01,Nordeste,Maranhão,Loreto,11876,3596.74,3.3018789236920103
2024-01-01,Sudeste,Minas Gerais,Montes Claros,434321,3589.811,120.9871494627433
2024-01-01,Nordeste,Maranhão,Itinga do Maranhão,22934,3583.423,6.400025897026391
2024-01-01,Nordeste,Bahia,Canudos,16662,3565.377,4.673278590174335
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Pedro Gomes,6974,3553.782,1.962416377819461
2024-01-01,Sul,Rio Grande do Sul,Piratini,17792,3538.3,5.028403470593222
2024-01-01,Norte,Tocantins,Sandolândia,3873,3535.135,1.0955734363751313
2024-01-01,Sul,Rio Grande do Sul,Canguçu,50998,3526.39,14.461815057324914
2024-01-01,Nordeste,Maranhão,São Raimundo das Mangabeiras,19129,3523.94,5.428299006225986
2024-01-01,Sudeste,Minas Gerais,Jequitinhonha,24509,3514.216,6.974244041914328
2024-01-01,Sudeste,Minas Gerais,Presidente Olegário,19177,3503.848,5.473125546541973
2024-01-01,Sudeste,Espírito Santo,Linhares,181912,3496.263,52.0304107557126
2024-01-01,Nordeste,Piauí,Gilbués,11166,3495.692,3.194217339513893
2024-01-01,Centro-Oeste,Mato Grosso,Canabrava do Norte,4480,3449.037,1.2989132908693064
2024-01-01,Norte,Pará,Floresta do Araguaia,18565,3444.285,5.3900882185997965
2024-01-01,Norte,Rondônia,Campo Novo de Rondônia,9225,3442.005,2.6801239393899774
2024-01-01,Centro-Oeste,Goiás,Itarumã,6142,3437.367,1.7868327705479221
2024-01-01,Nordeste,Piauí,Parnaguá,10289,3428.811,3.0007486560209937
2024-01-01,Centro-Oeste,Mato Grosso,Ipiranga do Norte,8409,3422.016,2.4573234023452843
2024-01-01,Norte,Tocantins,Dueré,4321,3420.657,1.2632076235647127
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Anaurilândia,7735,3415.657,2.2645716475629722
2024-01-01,Nordeste,Piauí,Floriano,64150,3407.979,18.823472797220877
2024-01-01,Sul,Rio Grande do Sul,Itaqui,36830,3406.606,10.811347129665126
2024-01-01,Centro-Oeste,Mato Grosso,Santo Antônio do Leste,4212,3403.593,1.237515766426832
2024-01-01,Nordeste,Maranhão,Tuntum,37401,3369.119,11.101121687895262
2024-01-01,Norte,Pará,Ponta de Pedras,25767,3363.743,7.660216609889638
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Bandeirantes,8276,3357.926,2.464616552002635
2024-01-01,Sul,Rio Grande do Sul,Encruzilhada do Sul,24280,3347.861,7.252391900380571
2024-01-01,Centro-Oeste,Goiás,São Domingos,9581,3335.999,2.8720032589937827
2024-01-01,Centro-Oeste,Goiás,São João d'Aliança,14757,3334.455,4.425610781971867
2024-01-01,Nordeste,Ceará,Quixeramobim,85797,3324.987,25.80370990924175
2024-01-01,Nordeste,Bahia,Baianópolis,14110,3320.723,4.249074674400726
2024-01-01,Norte,Tocantins,Dianópolis,18031,3318.094,5.43414381871038
2024-01-01,Sul,Rio Grande do Sul,São Francisco de Paula,22373,3317.794,6.743336084157124
2024-01-01,Nordeste,Bahia,Oliveira dos Brejinhos,21334,3313.418,6.4386684686326925
2024-01-01,Sudeste,Minas Gerais,Coromandel,30013,3313.313,9.058305086178095
2024-01-01,Norte,Pará,Piçarra,13341,3312.709,4.027217603477999
2024-01-01,Sudeste,Minas Gerais,São Francisco,54239,3308.1,16.395816329615187
2024-01-01,Sudeste,Minas Gerais,Curvelo,83862,3296.2,25.442024149020085
2024-01-01,Centro-Oeste,Mato Grosso,Nova Brasilândia,3853,3289.572,1.171276992873237
2024-01-01,Norte,Tocantins,Santa Rita do Tocantins,2291,3281.219,0.6982161202894412
2024-01-01,Norte,Rondônia,Buritis,30729,3265.81,9.409304276733797
2024-01-01,Norte,Amazonas,Tabatinga,72283,3260.245,22.17103315855097
2024-01-01,Sudeste,Minas Gerais,Chapada Gaúcha,12810,3255.189,3.935255372268707
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Selvíria,8593,3254.917,2.640005874189726
2024-01-01,Nordeste,Bahia,Vitória da Conquista,394024,3254.186,121.08219997258915
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Chapadão do Sul,33791,3252.327,10.389791678389042
2024-01-01,Nordeste,Maranhão,Chapadinha,84202,3247.385,25.92917070196481
2024-01-01,Nordeste,Maranhão,Parnarama,32256,3245.524,9.938610837571991
2024-01-01,Sudeste,Minas Gerais,Teófilo Otoni,142571,3242.27,43.97258710718108
2024-01-01,Norte,Tocantins,Natividade,8961,3241.672,2.7643142180948597
2024-01-01,Norte,Tocantins,Campos Lindos,8951,3234.445,2.767399043730841
2024-01-01,Centro-Oeste,Goiás,Doverlândia,6895,3227.558,2.136290037235582
2024-01-01,Nordeste,Ceará,Independência,24530,3222.381,7.612383513929607
2024-01-01,Centro-Oeste,Mato Grosso,Juruena,10149,3207.837,3.1638141214781177
2024-01-01,Sudeste,Minas Gerais,Bocaiúva,49668,3206.757,15.488544969263339
2024-01-01,Sudeste,Minas Gerais,Lassance,7358,3204.217,2.29634884279061
2024-01-01,Sudeste,Minas Gerais,Carlos Chagas,18852,3202.984,5.885761527375722
2024-01-01,Sudeste,Minas Gerais,Patos de Minas,167870,3190.456,52.61630312406753
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Naviraí,52707,3189.667,16.524295482882696
2024-01-01,Nordeste,Bahia,Riacho de Santana,32103,3183.909,10.082888675524332
2024-01-01,Norte,Pará,São Geraldo do Araguaia,24978,3168.386,7.883509143141019
2024-01-01,Sul,Paraná,Guarapuava,188710,3168.087,59.56591469868094
2024-01-01,Nordeste,Piauí,Currais,4968,3156.657,1.573816857517304
2024-01-01,Nordeste,Piauí,Sebastião Leal,4572,3148.857,1.4519554238252166
2024-01-01,Norte,Pará,Canaã dos Carajás,86629,3146.749,27.52968222123849
2024-01-01,Centro-Oeste,Goiás,Padre Bernardo,36692,3142.615,11.67562682670324
2024-01-01,Sul,Rio Grande do Sul,Quaraí,23988,3139.995,7.639502610672947
2024-01-01,Norte,Rondônia,Vale do Anari,8265,3135.106,2.6362744991716385
2024-01-01,Nordeste,Bahia,Mansidão,14484,3129.588,4.6280852303881534
2024-01-01,Centro-Oeste,Goiás,Monte Alegre de Goiás,6613,3119.86,2.1196463943894917
2024-01-01,Nordeste,Piauí,Guaribas,4350,3118.231,1.395021728666029
2024-01-01,Sudeste,Minas Gerais,Rio Pardo de Minas,29123,3117.675,9.341255903838597
2024-01-01,Nordeste,Maranhão,Sítio Novo,17457,3114.683,5.604743725123873
2024-01-01,Centro-Oeste,Mato Grosso,Colíder,32010,3112.091,10.285688946756377
2024-01-01,Centro-Oeste,Goiás,Goiás,24233,3108.423,7.7959145199993705
2024-01-01,Nordeste,Bahia,Ipirá,59264,3105.28,19.084913437757624
2024-01-01,Norte,Pará,Cachoeira do Arari,25243,3100.261,8.142217703606244
2024-01-01,Norte,Pará,Vitória do Xingu,16414,3089.537,5.312770165885698
2024-01-01,Norte,Pará,Cametá,143837,3082.19,46.667142518793455
2024-01-01,Norte,Acre,Rodrigues Alves,15537,3077.159,5.049137857354787
2024-01-01,Sudeste,Minas Gerais,Sacramento,27891,3073.268,9.075355614934981
2024-01-01,Norte,Rondônia,Corumbiara,8001,3060.321,2.6144316233493154
2024-01-01,Nordeste,Bahia,Uauá,25441,3060.116,8.313737126305016
2024-01-01,Centro-Oeste,Mato Grosso,Vera,13389,3058.364,4.377830761805985
2024-01-01,Centro-Oeste,Goiás,Aruanã,8515,3054.773,2.787441161749171
2024-01-01,Nordeste,Piauí,Corrente,28275,3048.747,9.27430186893173
2024-01-01,Sul,Rio Grande do Sul,Caçapava do Sul,33508,3048.147,10.992908150427128
2024-01-01,Norte,Tocantins,Itacajá,6969,3047.204,2.2870145877991757
2024-01-01,Nordeste,Maranhão,Barreirinhas,67999,3046.308,22.321774423334737
2024-01-01,Norte,Acre,Bujari,13766,3035.547,4.534932254384465
2024-01-01,Nordeste,Bahia,Monte Santo,49823,3034.197,16.420489506778893
2024-01-01,Nordeste,Ceará,Canindé,77207,3032.39,25.460775164144454
2024-01-01,Norte,Rondônia,Alvorada D'Oeste,13837,3029.189,4.567889293140838
2024-01-01,Nordeste,Bahia,Chorrochó,10929,3005.319,3.636552392607906
2024-01-01,Nordeste,Pernambuco,Santa Maria da Boa Vista,42682,3000.774,14.22366362811728
2024-01-01,Sudeste,Minas Gerais,Santa Vitória,21745,2998.364,7.252288247857832
2024-01-01,Nordeste,Ceará,Crateús,79809,2981.459,26.768437868842067
2024-01-01,Nordeste,Pernambuco,Serra Talhada,98143,2980.007,32.93381525613866
2024-01-01,Sul,Paraná,Tibagi,20304,2977.933,6.818152053790331
2024-01-01,Nordeste,Maranhão,Arame,26191,2976.039,8.800623916554857
2024-01-01,Nordeste,Bahia,Boa Vista do Tupim,17307,2972.109,5.823137711301975
2024-01-01,Nordeste,Bahia,Jequié,168733,2969.039,56.8308466140054
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Iguatemi,14017,2957.41,4.739620140595995
2024-01-01,Norte,Pará,Eldorado do Carajás,29425,2956.691,9.952003777195522
2024-01-01,Norte,Pará,Bannach,4252,2956.649,1.4381145682155712
2024-01-01,Norte,Rondônia,Jaru,55583,2944.14,18.879197320779582
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Caracol,5115,2928.706,1.7465051118138863
2024-01-01,Nordeste,Bahia,Wanderley,13436,2920.579,4.6004576489798765
2024-01-01,Sudeste,Minas Gerais,Santa Fé de Minas,3551,2917.448,1.2171596546022414
2024-01-01,Nordeste,Bahia,Campo Alegre de Lourdes,32377,2914.575,11.10865220486692
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Jaraguari,7425,2913.558,2.5484304757276157
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Anastácio,24741,2913.108,8.492990991065213
2024-01-01,Centro-Oeste,Mato Grosso,Itanhangá,8049,2909.745,2.7662217823211313
